Timestamp, CPU(%), Memory(GB)
2024-12-01 20:33:38, 0.0, 0.26548
2024-12-01 20:33:39, 16.6, 0.261768
2024-12-01 20:33:40, 23.8, 0.266327
2024-12-01 20:33:41, 15.8, 0.221081
2024-12-01 20:33:42, 15.7, 0.198463
2024-12-01 20:33:43, 18.5, 0.143566
2024-12-01 20:33:44, 34.8, 0.128479
2024-12-01 20:33:45, 34.1, 0.131355
2024-12-01 20:33:46, 39.0, 0.134132
2024-12-01 20:33:47, 42.8, 0.13657
2024-12-01 20:33:48, 31.5, 0.141319
2024-12-01 20:33:49, 17.2, 0.142075
2024-12-01 20:33:50, 17.2, 0.143463
