"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\LAPTOP-LGG5PRO9\Memory\Available MBytes","\\LAPTOP-LGG5PRO9\Network Interface(Intel[R] Wi-Fi 6 AX200 160MHz)\Bytes Total/sec","\\LAPTOP-LGG5PRO9\Network Interface(Realtek Gaming GbE Family Controller)\Bytes Total/sec","\\LAPTOP-LGG5PRO9\Processor(_Total)\% Processor Time"
"12/01/2024 19:08:56.178","938"," "," "," "
"12/01/2024 19:08:58.189","940","485.21456660908620506","0","7.1573168110311442547"
"12/01/2024 19:09:00.188","898","189.59037773306533836","0","4.4474664142818864931"
"12/01/2024 19:09:02.196","847","30.382539582845737414","0","7.1314251026115771381"
"12/01/2024 19:09:04.191","847","6827.4816560291292262","0","7.4035607550179012293"
"12/01/2024 19:09:06.181","850","7222.4190480497909448","0","5.9016442874348262748"
"12/01/2024 19:09:08.198","849","1623.1045184095657987","0","5.7324522394821331162"
"12/01/2024 19:09:10.193","860","272.53691134218968273","0","5.8577016549428044812"
"12/01/2024 19:09:12.191","853","143.69071349949220462","0","4.3715307789603530253"
"12/01/2024 19:09:14.184","851","507.14746855158983863","0","9.0167697780323745604"
"12/01/2024 19:09:16.193","850","30.359110955831720702","0","4.3349490097500549268"
"12/01/2024 19:09:18.184","813","6259.181979825630151","0","3.5938108026096426961"
"12/01/2024 19:09:20.190","851","235.86145229021471437","0","2.1544144988062785551"
"12/01/2024 19:09:22.188","825","760.11196614394248172","0","1.5307259281681306895"
"12/01/2024 19:09:24.192","823","689.59047706487945106","0","2.8165547013556557765"
"12/01/2024 19:09:26.185","820","334.2191143524677841","0","5.7736778735651750338"
"12/01/2024 19:09:28.194","814","526.1703806397176777","0","4.9807527771732473809"
"12/01/2024 19:09:30.193","842","432.56830253497031435","0","6.4341759886514466871"
"12/01/2024 19:09:32.185","828","30.618430558478667791","0","6.0075015458798786128"
"12/01/2024 19:09:34.196","812","717.42317912698547389","0","5.8847667779925671994"
"12/01/2024 19:09:36.190","819","30.580178169141671418","0","5.0898421679247185523"
"12/01/2024 19:09:38.183","809","144.04286876379700288","0","5.961043627309003945"
"12/01/2024 19:09:40.192","793","8087.488033285387246","0","5.433382798453456175"
"12/01/2024 19:09:42.180","822","2517.1691809775234105","0","4.1142952570466295725"
"12/01/2024 19:09:44.190","802","1628.1585442272203181","0","1.9805134453306560971"
