"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\LAPTOP-LGG5PRO9\Memory\Available MBytes","\\LAPTOP-LGG5PRO9\Network Interface(Intel[R] Wi-Fi 6 AX200 160MHz)\Bytes Total/sec","\\LAPTOP-LGG5PRO9\Network Interface(Realtek Gaming GbE Family Controller)\Bytes Total/sec","\\LAPTOP-LGG5PRO9\Processor(_Total)\% Processor Time"
"12/03/2024 12:05:45.110","705"," "," "," "
"12/03/2024 12:05:47.124","698","6857.9764313398345621","0","4.4318137320477068997"
"12/03/2024 12:05:49.121","649","3558.2088619530127289","0","8.3919612257468791938"
"12/03/2024 12:05:51.117","631","300.58566110209130784","0","4.7037963165704965718"
"12/03/2024 12:05:53.109","623","0","0","6.1227536048736430629"
"12/03/2024 12:05:55.126","620","288.08124109167027882","0","4.1796507111851237681"
"12/03/2024 12:05:57.120","620","2895.9281825854641284","0","3.5083869144620249969"
"12/03/2024 12:05:59.111","620","4326.0487314745041658","0","3.3863604452056939031"
"12/03/2024 12:06:01.126","603","68.962821002086343469","0","2.9635107661659998435"
"12/03/2024 12:06:03.125","601","0","0","2.5313120291762025715"
"12/03/2024 12:06:05.121","604","662.86261353150598552","0","2.0061557276742636446"
"12/03/2024 12:06:07.122","602","0","0","2.2787396249222546807"
"12/03/2024 12:06:09.114","594","125.97211830498341101","0","1.9762786734911830244"
"12/03/2024 12:06:11.118","621","1973.2234476435551187","0","2.3369735893344678601"
"12/03/2024 12:06:13.118","621","578.96149906031246246","0","1.9534485536197743194"
"12/03/2024 12:06:15.114","622","286.11314046000580902","0","2.2664960912529008574"
"12/03/2024 12:06:17.122","667","6349.3094242077695526","0","1.6298017128202002546"
"12/03/2024 12:06:19.119","684","69.596572203589701644","0","2.8513305598377169936"
