"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\LAPTOP-LGG5PRO9\Memory\Available MBytes","\\LAPTOP-LGG5PRO9\Network Interface(Intel[R] Wi-Fi 6 AX200 160MHz)\Bytes Total/sec","\\LAPTOP-LGG5PRO9\Network Interface(Realtek Gaming GbE Family Controller)\Bytes Total/sec","\\LAPTOP-LGG5PRO9\Processor(_Total)\% Processor Time"
"12/03/2024 12:00:18.198","658"," "," "," "
"12/03/2024 12:00:20.197","666","5600.1677447456759182","0","4.7119590966074653693"
"12/03/2024 12:00:22.198","620","431.48446655920389503","0","4.7564480773200852326"
"12/03/2024 12:00:24.196","627","69.563246904085204392","0","1.998735408341245634"
"12/03/2024 12:00:26.186","617","0","0","3.4789916844817136976"
"12/03/2024 12:00:28.198","604","9817.5927147390339087","0","1.8511756206423646276"
"12/03/2024 12:00:30.190","600","460.89547874589038656","0","2.3371557969150025258"
"12/03/2024 12:00:32.199","601","0","0","1.8619140986503412982"
"12/03/2024 12:00:34.192","601","358.11215310267567702","0","2.2300777146014527652"
"12/03/2024 12:00:36.179","552","5096.8145613666583813","0","1.312321229825563762"
"12/03/2024 12:00:38.191","565","69.109283753371940406","0","3.2823433911658428386"
"12/03/2024 12:00:40.198","520","38153.512477072894399","0","2.4282268252295180488"
"12/03/2024 12:00:42.186","576","154.42374741465974353","0","2.2799749501392074791"
"12/03/2024 12:00:44.196","579","76.611167679559173393","0","3.3535193777917804425"
"12/03/2024 12:00:46.198","581","330.73651875233593955","0","1.8975661419226130811"
"12/03/2024 12:00:48.195","568","6439.588258966497051","0","4.5471652423392905362"
