"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\LAPTOP-LGG5PRO9\Memory\Available MBytes","\\LAPTOP-LGG5PRO9\Network Interface(Intel[R] Wi-Fi 6 AX200 160MHz)\Bytes Total/sec","\\LAPTOP-LGG5PRO9\Network Interface(Realtek Gaming GbE Family Controller)\Bytes Total/sec","\\LAPTOP-LGG5PRO9\Processor(_Total)\% Processor Time"
"12/03/2024 12:08:19.580","494"," "," "," "
"12/03/2024 12:08:21.592","448","12583.26171035668267","0","7.7951912401566296751"
"12/03/2024 12:08:23.587","408","366.49003618374678126","0","6.9739337632241049647"
"12/03/2024 12:08:25.578","418","69.799534231223162806","0","4.7259774181025786532"
"12/03/2024 12:08:27.585","414","0","0","1.8160020732722270687"
"12/03/2024 12:08:29.571","423","17751.533223154412553","0","2.6339525215098746891"
"12/03/2024 12:08:31.587","423","0","0","3.8581082491667029188"
"12/03/2024 12:08:33.582","425","0","0","3.4851384814774122312"
"12/03/2024 12:08:35.582","426","69.499065237572551723","0","2.9892362832390273475"
"12/03/2024 12:08:37.591","392","0","0","3.2811336495414678005"
"12/03/2024 12:08:39.581","355","18972.07146280901361","0","4.8097970786308845703"
"12/03/2024 12:08:41.589","392","32550.420096059537173","0","2.7667075478761793406"
"12/03/2024 12:08:43.582","448","13847.28082122017986","0","3.1367411593114735702"
"12/03/2024 12:08:45.585","446","17236.6078475645445","0","3.3062390415990905446"
"12/03/2024 12:08:47.574","430","31388.041929921346309","0","4.9196097493117925126"
"12/03/2024 12:08:49.584","441","381.09841418780638378","0","3.4785794899514943523"
"12/03/2024 12:08:51.573","355","100282.53210012779164","0","4.601020359314200725"
"12/03/2024 12:08:53.576","465","70128.590305622390588","0","8.4531103730434260513"
"12/03/2024 12:08:55.579","467","32.955936265416326592","0","3.2052855009133573994"
"12/03/2024 12:08:57.586","458","182.82296997757904933","0","3.2083163063014286109"
"12/03/2024 12:08:59.573","671","231.97349564433281444","0","2.7883509118832416895"
"12/03/2024 12:09:01.583","642","9396.3189779814802023","0","4.0860510472060855847"
